ID_Venta,Producto,Precio_Unitario,Cantidad
1,Mouse,41.27,5
2,Monitor,205.87,2
3,Impresora,92.7,7
4,Laptop,45.25,4
5,Monitor,440.19,1
6,Impresora,185.63,9
7,Silla Gamer,203.57,10
8,Webcam,692.72,1
9,Teclado,600.3,6
10,Webcam,149.62,6
11,Mouse,97.52,2
12,Micrófono,724.34,10
13,Webcam,690.81,8
14,Impresora,124.17,7
15,Mouse,478.96,10
16,Micrófono,499.99,2
17,Laptop,569.67,5
18,Mouse,730.83,2
19,Silla Gamer,251.35,6
20,Teclado,327.93,4
21,Webcam,603.35,2
22,Router WiFi,547.84,9
23,Monitor,156.2,7
24,Webcam,842.29,9
25,Monitor,589.07,1
26,Monitor,703.0,6
27,Silla Gamer,242.86,4
28,Router WiFi,748.31,6
29,Monitor,564.84,7
30,Auriculares,139.15,3
31,Monitor,639.21,9
32,Webcam,640.89,7
33,Router WiFi,352.2,4
34,Teclado,443.66,2
35,Laptop,735.64,3
36,Teclado,678.31,7
37,Router WiFi,73.26,7
38,Router WiFi,847.77,9
39,Webcam,826.97,1
40,Mouse,586.65,9
41,Webcam,658.81,6
42,Mouse,264.25,3
43,Auriculares,23.2,5
44,Impresora,653.3,9
45,Mouse,743.46,5
46,Impresora,526.24,3
47,Micrófono,653.76,9
48,Impresora,783.3,10
49,Micrófono,426.28,2
50,Micrófono,750.27,5
51,Monitor,68.61,10
52,Mouse,91.63,8
53,Mouse,832.71,9
54,Teclado,127.13,8
55,Impresora,157.64,9
56,Router WiFi,371.91,4
57,Impresora,647.74,4
58,Webcam,351.86,6
59,Auriculares,767.62,8
60,Mouse,226.38,2
61,Micrófono,37.97,9
62,Monitor,509.19,1
63,Mouse,608.35,1
64,Monitor,76.48,1
65,Micrófono,79.35,4
66,Webcam,576.08,4
67,Impresora,130.38,10
68,Router WiFi,413.05,8
69,Silla Gamer,178.63,2
70,Silla Gamer,314.74,7
71,Auriculares,737.91,1
72,Mouse,70.84,6
73,Mouse,227.01,4
74,Impresora,393.07,7
75,Teclado,251.83,4
76,Mouse,388.52,9
77,Mouse,62.51,9
78,Laptop,825.24,4
79,Teclado,358.02,8
80,Monitor,738.58,1
81,Teclado,335.23,7
82,Webcam,789.96,8
83,Webcam,371.8,9
84,Auriculares,149.06,5
85,Monitor,825.0,10
86,Impresora,71.12,6
87,Laptop,62.14,8
88,Impresora,784.04,9
89,Teclado,67.74,9
